CNT_NAME,REG_NAME,ACCOM_NAME,ACCOM_REV_POS,ACCOM_REV_NEG,score
중국,광저우,광저우 누오모 인터내셔널 호텔 (Guangzhou Nuomo International Hotel),1,1,4.11
중국,항저우,치어리 커낼 호텔 항저우 (Cheery Canal Hotel Hangzhou),4,0,4.37
중국,항저우,진장 메트로폴로 호텔 - 항저우 트레인 이스트 스테이션 (Jinjiang Metropolo Hotel - Hangzhou Train East Station),2,0,4.32
중국,항저우,래디슨 블루 항저우 신톈디 (Radisson Blu Hangzhou Xintiandi),1,0,4.29
중국,항저우,그랜드 페트로파크 호텔 항주 (Grand Metropark Hotel Hangzhou),6,1,4.26
중국,항저우,Courtyard Hangzhou Wulin,1,0,4.29
중국,항저우,메이루 레전드 호텔 항저우 (Meilu Legend Hotel Hangzhou),4,0,4.37
중국,항저우,플라자 인터내셔널 호텔 저장 (Plaza International Hotel Zhejiang),0,2,3.89
중국,항저우,윈덤 그랜드 프라자 로얄 항저우 (Wyndham Grand Plaza Royale Hangzhou),19,0,4.61
캄보디아,씨엠립,ANGKOR LAND URBAN BOUTIQUE,5,0,4.4
캄보디아,씨엠립,로얄 크라운 호텔 앤 스파 (Royal Crown Hotel & Spa),68,14,4.17
캄보디아,씨엠립,크메르 맨션 부티크 호텔 (Khmer Mansion Boutique Hotel),88,8,4.52
캄보디아,씨엠립,골든 템플 레지던스 (Golden Temple Residence),72,3,4.68
캄보디아,씨엠립,투 시즌스 씨엠립 호텔 (Two Seasons Siem Reap Hotel),9,0,4.48
캄보디아,씨엠립,센트럴 스위트 레지던스 (Central Suite Residence),84,5,4.63
캄보디아,씨엠립,메모이레 디'앙코르 부티크 호텔  (Memoire d' Angkor Boutique Hotel),62,7,4.44
캄보디아,씨엠립,호텔 소마데비 앙코르 부티크 앤 리조트 (Hotel Somadevi Angkor Boutique and Resort),68,7,4.47
캄보디아,씨엠립,쉐도우 앙코르 레지던스 (Shadow Angkor Residence),13,4,4.06
캄보디아,씨엠립,메콩 앙코르 팰리스 인 (Mekong Angkor Palace Inn),15,4,4.11
캄보디아,프놈펜,두옹 찬 호텔 (Duong Chan Hotel),88,3,4.73
캄보디아,프놈펜,센서리 파크 어반 호텔 (Sensory Park Urban Hotel),16,3,4.23
캄보디아,프놈펜,맨션 51 호텔 앤 아파트먼트 (Mansion 51 Hotel & Apartment),34,6,4.25
캄보디아,프놈펜,오케이 부티크 호텔 (Okay Boutique Hotel),50,26,3.5
캄보디아,프놈펜,Fairfield by Marriott Phnom Penh,4,0,4.37
캄보디아,프놈펜,나가월드 호텔 앤 엔터테인먼트 콤플렉스 (NagaWorld Hotel & Entertainment Complex),61,40,3.24
캄보디아,프놈펜,오하나 프놈펜 팰리스 호텔 (Ohana Phnom Penh Palace Hotel),61,11,4.24
캄보디아,프놈펜,호텔 에미온 프놈펜 (Hotel Emion Phnom Penh),31,10,3.94
캄보디아,프놈펜,아시반 키 부티크 호텔 (Asiban Quay Boutique Hotel),1,1,4.11
캄보디아,프놈펜,푸민 호텔 리버사이드 (Phuminh Hotel Riverside),27,3,4.4
캄보디아,시아누크빌,소카 비치 호텔 (Sokha Beach Resort),38,32,3.08
캄보디아,시아누크빌,인디펜던스 호텔 리조트 앤 스파 (Independence Hotel Resort & Spa),41,18,3.68
캄보디아,시아누크빌,아리스토크랫 레지던스 앤 호텔 (Aristocrat Residence & Hotel),10,8,3.58
캄보디아,시아누크빌,RIVA Hotel SHV,4,0,4.37
캄보디아,시아누크빌,Won Majestic Hotel Cambodia,5,1,4.24
캄보디아,시아누크빌,사하 비치 리조트 (Sahaa Beach Resort),5,4,3.82
캄보디아,시아누크빌,라 보그 부티크 호텔 앤 카지노 (La Vogue Boutique Hotel & Casino),4,1,4.21
캄보디아,시아누크빌,세븐 컬러 호텔 (Seven Color Hotel),2,0,4.32
캄보디아,시아누크빌,미탈리 호텔 (Mittali Hotel),0,1,4.07
캄보디아,캄폿,트윈 호텔 (Twin Hotel),3,1,4.18
캄보디아,캄폿,RiverTree Villa & Resort,6,0,4.42
캄보디아,캄폿,뱀부 방갈로 (Bamboo Bungalows),4,2,4.05
캄보디아,캄폿,호텔 파이브.S (Hotel Five.S),4,6,3.54
캄보디아,캄폿,더 B 리조트 (The B Resort),2,0,4.32
캄보디아,캄폿,더 J 브레이크 부티크 (The J Break Boutique),1,0,4.29
캄보디아,캄폿,몽타뉴 레지던스 (Montagne Residence),1,0,4.29
캄보디아,캄폿,굿모닝 캄폿 게스트하우스 (Good Morning Kampot Guesthouse),89,10,4.45
캄보디아,캄폿,원더즈 캄폿 (Onederz Kampot),1,1,4.11
캐나다,토론토,Samesun Toronto,4,1,4.21
캐나다,토론토,홀리데이 인 토론토 다운타운 센터 (Holiday Inn Toronto Downtown Centre),12,1,4.39
캐나다,토론토,원 킹 웨스트 호텔 앤 레지던스 (One King West Hotel and Residence),23,1,4.54
캐나다,토론토,팬티지스 호텔 토론토 센터 (Pantages Hotel Toronto Centre),16,3,4.23
캐나다,토론토,로얄 오크 인 (Royal Oak Inn),1,0,4.29
캐나다,토론토,Hilton Toronto,3,3,3.87
캐나다,토론토,DoubleTree by Hilton Toronto Downtown,1,3,3.78
캐나다,밴쿠버,센추리 플라자 호텔 (Century Plaza Hotel),38,7,4.23
캐나다,밴쿠버,Quality Inn & Suites,4,0,4.37
캐나다,밴쿠버,더 버라드 호텔 (The Burrard Hotel),3,4,3.74
캐나다,밴쿠버,데이즈 인 바이 윈덤 밴쿠버 다운타운 (Days Inn by Wyndham Vancouver Downtown),4,5,3.65
캐나다,밴쿠버,하얏트 리젠시 밴쿠버 (Hyatt Regency Vancouver),25,1,4.56
캐나다,밴쿠버,Hotel Belmont Vancouver Mgallery,14,5,3.99
캐나다,밴쿠버,더 캄비 호스텔 개스타운 (The Cambie Hostel Gastown),2,3,3.83
캐나다,밴쿠버,YWCA 호텔 밴쿠버 (YWCA Hotel Vancouver),6,0,4.42
캐나다,밴쿠버,킹스턴 호텔 (Kingston Hotel),4,4,3.78
