cnt_name,emi,year
일본,487939,2020
중국,647638,2020
베트남,840041,2020
태국,260228,2020
필리핀,338877,2020
홍콩,39922,2020
대만,178911,2020
마카오,44433,2020
싱가포르,89522,2020
말레이시아,119750,2020
인도네시아,75562,2020
캄보디아,75562,2020
터키,36636,2020
인도,32302,2020
몽골,5060,2020
미얀마,19363,2020
이스라엘,17273,2020
몰디브,5895,2020
스리랑카,2499,2020
스페인,121931,2020
독일,61675,2020
호주,36646,2020
영국,56143,2020
슬로베니아,10525,2020
러시아,34451,2020
보스니아,1541,2020
핀란드,4789,2020
북마케도니아,195,2020
세르비아,34,2020
남아프리카,4222,2020
미국,439286,2020
캐나다,33861,2020
도미니카공화국,1777,2020
자메이카,71,2020
코스타리카,1506,2020
멕시코,35305,2020
오스트레일리아,53520,2020
사이판,8,2020
괌,124181,2020
뉴질랜드,26383,2020
팔라우,2702,2020
피지,548,2020
