CNT_NAME,EMI,YEAR,MONTH,CNT_CODE
일본,545089,2023,6,JP
중국,233898,2023,6,CN
베트남,284350,2023,6,VN
태국,122278,2023,6,TH
필리핀,117413,2023,6,PH
홍콩,25052,2023,6,HK
대만,47926,2023,6,TW
마카오,14458,2023,6,MO
싱가포르,40187,2023,6,SG
말레이시아,25933,2023,6,MY
인도네시아,27036,2023,6,ID
캄보디아,11420,2023,6,KH
터키,13758,2023,6,TR
이스라엘,2700,2023,6,IL
몰디브,2306,2023,6,MV
스리랑카,516,2023,6,LK
독일,21803,2023,6,DE
오스트리아,19415,2023,6,
슬로베니아,6101,2023,6,SI
보스니아,1892,2023,6,BA
핀란드,2485,2023,6,FI
북마케도니아,156,2023,6,MK
세르비아,28,2023,6,RS
남아프리카,735,2023,6,ZA
미국,108675,2023,6,US
캐나다,17246,2023,6,CA
도미니카공화국,972,2023,6,DO
자메이카,48,2023,6,JM
코스타리카,212,2023,6,CR
멕시코,6707,2023,6,MX
호주,18210,2023,6,AU
사이판,17739,2023,6,MP
괌,2871,2023,6,GU
뉴질랜드,2660,2023,6,NZ
팔라우,34,2023,6,PW
피지,226,2023,6,FJ
