cnt_name,emi,year
일본,7538952,2018
중국,4191790,2018
베트남,3435406,2018
태국,1796615,2018
필리핀,1624251,2018
홍콩,1421411,2018
대만,1019122,2018
마카오,812842,2018
싱가포르,629454,2018
말레이시아,616783,2018
인도네시아,358885,2018
캄보디아,358885,2018
터키,159354,2018
인도,150536,2018
몽골,84184,2018
미얀마,72852,2018
이스라엘,45600,2018
몰디브,34400,2018
스리랑카,15748,2018
스페인,486867,2018
독일,357962,2018
호주,319932,2018
영국,305014,2018
슬로베니아,136706,2018
러시아,360618,2018
보스니아,45388,2018
핀란드,32803,2018
북마케도니아,3246,2018
세르비아,3311,2018
남아프리카,21868,2018
미국,2210597,2018
캐나다,253236,2018
도미니카공화국,2865,2018
자메이카,308,2018
코스타리카,4879,2018
멕시코,122307,2018
오스트레일리아,287990,2018
사이판,240577,2018
괌,746986,2018
뉴질랜드,87853,2018
팔라우,14347,2018
피지,8176,2018
