cnt_name,emi,year
일본,2755313,2014
중국,4181800,2014
베트남,832969,2014
태국,1116493,2014
필리핀,1175472,2014
홍콩,1251047,2014
대만,527684,2014
마카오,554521,2014
싱가포르,536975,2014
말레이시아,385769,2014
인도네시아,328122,2014
캄보디아,328122,2014
터키,248654,2014
인도,106870,2014
몽골,45476,2014
미얀마,58472,2014
이스라엘,21700,2014
몰디브,34896,2014
스리랑카,13412,2014
스페인,224455,2014
독일,254332,2014
호주,234557,2014
영국,209952,2014
슬로베니아,61702,2014
러시아,135676,2014
보스니아,25654,2014
핀란드,15769,2014
북마케도니아,3364,2014
세르비아,3110,2014
남아프리카,12846,2014
미국,1473365,2014
캐나다,183770,2014
도미니카공화국,1860,2014
자메이카,425,2014
코스타리카,3922,2014
멕시코,75090,2014
오스트레일리아,202820,2014
사이판,142081,2014
괌,356286,2014
뉴질랜드,55488,2014
팔라우,14667,2014
피지,5676,2014
