CNT_NAME,EMI,YEAR,CNT_CODE
일본,18947,2021,JP
중국,185225,2021,CN
베트남,32500,2021,VN
태국,12077,2021,TH
필리핀,6456,2021,PH
홍콩,626,2021,HK
대만,3300,2021,TW
마카오,22,2021,MO
싱가포르,7126,2021,SG
말레이시아,3028,2021,MY
인도네시아,9497,2021,ID
캄보디아,9497,2021,KH
터키,15206,2021,TR
인도,13330,2021,IN
몽골,2312,2021,MN
미얀마,1080,2021,MM
이스라엘,848,2021,IL
몰디브,6849,2021,MV
스리랑카,389,2021,LK
스페인,37692,2021,ES
독일,28773,2021,DE
호주,4980,2021,AU
영국,5604,2021,GB
슬로베니아,2052,2021,SI
러시아,9853,2021,RU
보스니아,155,2021,BA
핀란드,2082,2021,FI
북마케도니아,96,2021,MK
세르비아,32,2021,RS
남아프리카,1346,2021,ZA
미국,202711,2021,US
캐나다,15880,2021,CA
도미니카공화국,3997,2021,DO
자메이카,18,2021,JM
코스타리카,858,2021,CR
멕시코,31311,2021,MX
오스트레일리아,2060,2021,AU
사이판,6783,2021,MP
괌,8002,2021,GU
뉴질랜드,476,2021,NZ
팔라우,25,2021,PW
피지,51,2021,FJ
