CNT_NAME,EMI,YEAR,MONTH
일본,466987,2023,4
중국,283295,2023,4
베트남,259357,2023,4
태국,95830,2023,4
필리핀,95103,2023,4
홍콩,21112,2023,4
대만,58950,2023,4
마카오,8095,2023,4
싱가포르,31780,2023,4
말레이시아,24677,2023,4
인도네시아,18436,2023,4
캄보디아,11520,2023,4
터키,9600,2023,4
이스라엘,3000,2023,4
몰디브,2994,2023,4
스리랑카,469,2023,4
독일,14131,2023,4
오스트리아,14286,2023,4
슬로베니아,5956,2023,4
보스니아,1124,2023,4
핀란드,986,2023,4
북마케도니아,94,2023,4
세르비아,70,2023,4
남아프리카,681,2023,4
미국,118631,2023,4
캐나다,7185,2023,4
도미니카공화국,1038,2023,4
자메이카,12,2023,4
코스타리카,285,2023,4
멕시코,7218,2023,4
호주,15700,2023,4
사이판,11189,2023,4
괌,35397,2023,4
뉴질랜드,4133,2023,4
팔라우,41,2023,4
피지,135,2023,4
