CNT_NAME,EMI,YEAR,CNT_CODE
일본,7538952,2018,JP
중국,4191790,2018,CN
베트남,3435406,2018,VN
태국,1796615,2018,TH
필리핀,1624251,2018,PH
홍콩,1421411,2018,HK
대만,1019122,2018,TW
마카오,812842,2018,MO
싱가포르,629454,2018,SG
말레이시아,616783,2018,MY
인도네시아,358885,2018,ID
캄보디아,358885,2018,KH
터키,159354,2018,TR
인도,150536,2018,IN
몽골,84184,2018,MN
미얀마,72852,2018,MM
이스라엘,45600,2018,IL
몰디브,34400,2018,MV
스리랑카,15748,2018,LK
스페인,486867,2018,ES
독일,357962,2018,DE
호주,319932,2018,AU
영국,305014,2018,GB
슬로베니아,136706,2018,SI
러시아,360618,2018,RU
보스니아,45388,2018,BA
핀란드,32803,2018,FI
북마케도니아,3246,2018,MK
세르비아,3311,2018,RS
남아프리카,21868,2018,ZA
미국,2210597,2018,US
캐나다,253236,2018,CA
도미니카공화국,2865,2018,DO
자메이카,308,2018,JM
코스타리카,4879,2018,CR
멕시코,122307,2018,MX
오스트레일리아,287990,2018,AU
사이판,240577,2018,MP
괌,746986,2018,GU
뉴질랜드,87853,2018,NZ
팔라우,14347,2018,PW
피지,8176,2018,FJ
