cnt_name,emi,year
일본,7140438,2017
중국,3854869,2017
베트남,2415245,2017
태국,1717867,2017
필리핀,1607821,2017
홍콩,1487670,2017
대만,1054380,2017
마카오,874253,2017
싱가포르,631363,2017
말레이시아,484528,2017
인도네시아,423191,2017
캄보디아,423191,2017
터키,120622,2017
인도,142383,2017
몽골,74921,2017
미얀마,65829,2017
이스라엘,40300,2017
몰디브,34808,2017
스리랑카,15963,2017
스페인,446069,2017
독일,367172,2017
호주,309199,2017
영국,352012,2017
슬로베니아,148014,2017
러시아,253764,2017
보스니아,52056,2017
핀란드,28038,2017
북마케도니아,4415,2017
세르비아,4359,2017
남아프리카,22173,2017
미국,2334839,2017
캐나다,301476,2017
도미니카공화국,2689,2017
자메이카,390,2017
코스타리카,5191,2017
멕시코,106718,2017
오스트레일리아,302210,2017
사이판,334767,2017
괌,685228,2017
뉴질랜드,91168,2017
팔라우,11895,2017
피지,8871,2017
