CNT_NAME,EMI,YEAR,CNT_CODE
일본,5584597,2019,JP
중국,4346567,2019,CN
베트남,4290802,2019,VN
태국,1890959,2019,TH
필리핀,1989322,2019,PH
홍콩,1042540,2019,HK
대만,1242598,2019,TW
마카오,743026,2019,MO
싱가포르,645848,2019,SG
말레이시아,673065,2019,MY
인도네시아,388316,2019,ID
캄보디아,388316,2019,KH
터키,207372,2019,TR
인도,149445,2019,IN
몽골,101279,2019,MN
미얀마,111794,2019,MM
스페인,630797,2019,ES
독일,342305,2019,DE
영국,301130,2019,GB
슬로베니아,139429,2019,SI
러시아,431082,2019,RU
미국,2298279,2019,US
캐나다,266767,2019,CA
멕시코,120424,2019,MX
오스트레일리아,280480,2019,AU
사이판,123058,2019,MP
괌,753357,2019,GU
뉴질랜드,88431,2019,NZ
