CNT_NAME,EMI,YEAR,CNT_CODE
일본,487939,2020,JP
중국,647638,2020,CN
베트남,840041,2020,VN
태국,260228,2020,TH
필리핀,338877,2020,PH
홍콩,39922,2020,HK
대만,178911,2020,TW
마카오,44433,2020,MO
싱가포르,89522,2020,SG
말레이시아,119750,2020,MY
인도네시아,75562,2020,ID
캄보디아,75562,2020,KH
터키,36636,2020,TR
인도,32302,2020,IN
몽골,5060,2020,MN
미얀마,19363,2020,MM
스페인,121931,2020,ES
독일,61675,2020,DE
영국,56143,2020,GB
슬로베니아,10525,2020,SI
러시아,34451,2020,RU
미국,439286,2020,US
캐나다,33861,2020,CA
멕시코,35305,2020,MX
오스트레일리아,53520,2020,AU
사이판,8,2020,MP
괌,124181,2020,GU
뉴질랜드,26383,2020,NZ
