CNT_NAME,EMI,YEAR
일본,5090302,2016
중국,4762163,2016
베트남,1543883,2016
태국,1464218,2016
필리핀,1475081,2016
홍콩,1392367,2016
대만,884397,2016
마카오,662263,2016
싱가포르,566509,2016
말레이시아,444439,2016
인도네시아,343887,2016
캄보디아,343887,2016
터키,106904,2016
인도,111076,2016
몽골,57587,2016
미얀마,64397,2016
이스라엘,28300,2016
몰디브,29580,2016
스리랑카,14520,2016
스페인,312432,2016
독일,318330,2016
호주,273477,2016
영국,316637,2016
슬로베니아,112920,2016
러시아,161267,2016
보스니아,41857,2016
핀란드,22948,2016
북마케도니아,2932,2016
세르비아,3217,2016
남아프리카,18840,2016
미국,1982516,2016
캐나다,254759,2016
도미니카공화국,2423,2016
자메이카,370,2016
코스타리카,4342,2016
멕시코,92193,2016
오스트레일리아,280100,2016
사이판,228156,2016
괌,544957,2016
뉴질랜드,82384,2016
팔라우,12433,2016
피지,8071,2016
