CNT_NAME,EMI,YEAR,CNT_CODE
일본,4002095,2015,JP
중국,4444400,2015,CN
베트남,1152349,2015,VN
태국,1372989,2015,TH
필리핀,1339678,2015,PH
홍콩,1243293,2015,HK
대만,658757,2015,TW
마카오,554144,2015,MO
싱가포르,577082,2015,SG
말레이시아,421161,2015,MY
인도네시아,353729,2015,ID
캄보디아,353729,2015,KH
터키,222580,2015,TR
인도,102993,2015,IN
몽골,47213,2015,MN
미얀마,63715,2015,MM
스페인,269570,2015,ES
독일,296900,2015,DE
영국,337039,2015,GB
슬로베니아,92021,2015,SI
러시아,153189,2015,RU
미국,1775456,2015,US
캐나다,204741,2015,CA
멕시코,95454,2015,MX
오스트레일리아,226780,2015,AU
사이판,182622,2015,MP
괌,427900,2015,GU
뉴질랜드,64992,2015,NZ
