cnt_name,emi,year
일본,4002095,2015
중국,4444400,2015
베트남,1152349,2015
태국,1372989,2015
필리핀,1339678,2015
홍콩,1243293,2015
대만,658757,2015
마카오,554144,2015
싱가포르,577082,2015
말레이시아,421161,2015
인도네시아,353729,2015
캄보디아,353729,2015
터키,222580,2015
인도,102993,2015
몽골,47213,2015
미얀마,63715,2015
이스라엘,22600,2015
몰디브,33001,2015
스리랑카,14373,2015
스페인,269570,2015
독일,296900,2015
호주,277032,2015
영국,337039,2015
슬로베니아,92021,2015
러시아,153189,2015
보스니아,29973,2015
핀란드,18835,2015
북마케도니아,3704,2015
세르비아,1845,2015
남아프리카,13561,2015
미국,1775456,2015
캐나다,204741,2015
도미니카공화국,1811,2015
자메이카,426,2015
코스타리카,4167,2015
멕시코,95454,2015
오스트레일리아,226780,2015
사이판,182622,2015
괌,427900,2015
뉴질랜드,64992,2015
팔라우,12360,2015
피지,6700,2015
