CNT_NAME,EMI,YEAR,MONTH,CNT_CODE
일본,569100,2023,8,JP
중국,363603,2023,8,CN
베트남,385904,2023,8,VN
태국,146387,2023,8,TH
필리핀,135660,2023,8,PH
홍콩,34356,2023,8,HK
대만,50980,2023,8,TW
마카오,22871,2023,8,MO
싱가포르,62788,2023,8,SG
말레이시아,21903,2023,8,MY
인도네시아,36342,2023,8,ID
캄보디아,15215,2023,8,KH
터키,13495,2023,8,TR
이스라엘,2600,2023,8,IL
몰디브,1939,2023,8,MV
스리랑카,666,2023,8,LK
독일,24975,2023,8,DE
오스트리아,21200,2023,8,
슬로베니아,5413,2023,8,SI
보스니아,1682,2023,8,BA
핀란드,4183,2023,8,FI
북마케도니아,111,2023,8,MK
세르비아,162,2023,8,RS
남아프리카,1119,2023,8,ZA
미국,147255,2023,8,US
캐나다,23289,2023,8,CA
도미니카공화국,945,2023,8,DO
자메이카,40,2023,8,JM
코스타리카,201,2023,8,CR
멕시코,8278,2023,8,MX
호주,23638,2023,8,AU
사이판,20319,2023,8,MP
괌,31774,2023,8,GU
뉴질랜드,3895,2023,8,NZ
팔라우,165,2023,8,PW
피지,172,2023,8,FJ
