CNT_NAME,EMI,YEAR,MONTH,CNT_CODE
일본,565251,2023,1,JP
중국,333026,2023,1,CN
베트남,258946,2023,1,VN
태국,169462,2023,1,TH
필리핀,127101,2023,1,PH
홍콩,6782,2023,1,HK
대만,36536,2023,1,TW
마카오,2362,2023,1,MO
싱가포르,60454,2023,1,SG
말레이시아,48312,2023,1,MY
인도네시아,27243,2023,1,ID
캄보디아,20636,2023,1,KH
터키,14075,2023,1,TR
이스라엘,4300,2023,1,IL
몰디브,3087,2023,1,MV
스리랑카,450,2023,1,LK
독일,12795,2023,1,DE
오스트리아,9602,2023,1,
슬로베니아,1511,2023,1,SI
보스니아,245,2023,1,BA
핀란드,1296,2023,1,FI
북마케도니아,16,2023,1,MK
세르비아,22,2023,1,RS
남아프리카,987,2023,1,ZA
미국,141825,2023,1,US
캐나다,7519,2023,1,CA
도미니카공화국,1707,2023,1,DO
자메이카,23,2023,1,JM
코스타리카,302,2023,1,CR
멕시코,7614,2023,1,MX
호주,18300,2023,1,AU
사이판,10097,2023,1,MP
괌,39633,2023,1,GU
뉴질랜드,4875,2023,1,NZ
팔라우,36,2023,1,PW
피지,84,2023,1,FJ
