cnt_name,emi,year
일본,18947,2021
중국,185225,2021
베트남,32500,2021
태국,12077,2021
필리핀,6456,2021
홍콩,626,2021
대만,3300,2021
마카오,22,2021
싱가포르,7126,2021
말레이시아,3028,2021
인도네시아,9497,2021
캄보디아,9497,2021
터키,15206,2021
인도,13330,2021
몽골,2312,2021
미얀마,1080,2021
이스라엘,848,2021
몰디브,6849,2021
스리랑카,389,2021
스페인,37692,2021
독일,28773,2021
호주,4980,2021
영국,5604,2021
슬로베니아,2052,2021
러시아,9853,2021
보스니아,155,2021
핀란드,2082,2021
북마케도니아,96,2021
세르비아,32,2021
남아프리카,1346,2021
미국,202711,2021
캐나다,15880,2021
도미니카공화국,3997,2021
자메이카,18,2021
코스타리카,858,2021
멕시코,31311,2021
오스트레일리아,2060,2021
사이판,6783,2021
괌,8002,2021
뉴질랜드,476,2021
팔라우,25,2021
피지,51,2021
