CNT_NAME,EMI,YEAR,MONTH
일본,515717,2023,5
중국,293311,2023,5
베트남,247538,2023,5
태국,103031,2023,5
필리핀,99340,2023,5
홍콩,25909,2023,5
대만,58093,2023,5
마카오,13057,2023,5
싱가포르,39203,2023,5
말레이시아,27298,2023,5
인도네시아,26271,2023,5
캄보디아,11438,2023,5
터키,12104,2023,5
이스라엘,3800,2023,5
몰디브,2864,2023,5
스리랑카,498,2023,5
독일,18258,2023,5
오스트리아,18458,2023,5
슬로베니아,6869,2023,5
보스니아,2573,2023,5
핀란드,1746,2023,5
북마케도니아,126,2023,5
세르비아,193,2023,5
남아프리카,683,2023,5
미국,130494,2023,5
캐나다,13696,2023,5
도미니카공화국,937,2023,5
자메이카,50,2023,5
코스타리카,243,2023,5
멕시코,7333,2023,5
호주,18690,2023,5
사이판,13911,2023,5
괌,29005,2023,5
뉴질랜드,3620,2023,5
팔라우,52,2023,5
피지,141,2023,5
