CNT_NAME,EMI,YEAR,MONTH
일본,568622,2023,2
중국,299065,2023,2
베트남,301343,2023,2
태국,157440,2023,2
필리핀,127478,2023,2
홍콩,14204,2023,2
대만,59195,2023,2
마카오,3512,2023,2
싱가포르,64876,2023,2
말레이시아,40591,2023,2
인도네시아,24712,2023,2
캄보디아,18886,2023,2
터키,12659,2023,2
이스라엘,6300,2023,2
몰디브,3266,2023,2
스리랑카,508,2023,2
독일,13279,2023,2
오스트리아,8818,2023,2
슬로베니아,1785,2023,2
보스니아,18,2023,2
핀란드,1031,2023,2
북마케도니아,23,2023,2
세르비아,4,2023,2
남아프리카,941,2023,2
미국,116425,2023,2
캐나다,6047,2023,2
도미니카공화국,1153,2023,2
자메이카,13,2023,2
코스타리카,286,2023,2
멕시코,6308,2023,2
호주,24950,2023,2
사이판,12025,2023,2
괌,37480,2023,2
뉴질랜드,5251,2023,2
팔라우,37,2023,2
피지,107,2023,2
