CNT_NAME,EMI,YEAR,MONTH
일본,626800,2023,7
중국,319733,2023,7
베트남,286126,2023,7
태국,150385,2023,7
필리핀,140718,2023,7
홍콩,29540,2023,7
대만,47811,2023,7
마카오,19740,2023,7
싱가포르,60959,2023,7
말레이시아,21265,2023,7
인도네시아,38225,2023,7
캄보디아,14772,2023,7
터키,15344,2023,7
이스라엘,2600,2023,7
몰디브,1891,2023,7
스리랑카,628,2023,7
독일,24248,2023,7
오스트리아,23544,2023,7
슬로베니아,6198,2023,7
보스니아,1633,2023,7
핀란드,2675,2023,7
북마케도니아,108,2023,7
세르비아,56,2023,7
남아프리카,782,2023,7
미국,152145,2023,7
캐나다,22611,2023,7
도미니카공화국,1211,2023,7
자메이카,39,2023,7
코스타리카,239,2023,7
멕시코,8037,2023,7
호주,22950,2023,7
사이판,20627,2023,7
괌,26984,2023,7
뉴질랜드,3782,2023,7
팔라우,145,2023,7
피지,209,2023,7
