CNT_NAME,EMI,YEAR,MONTH
일본,545089,2023,6
중국,233898,2023,6
베트남,284350,2023,6
태국,122278,2023,6
필리핀,117413,2023,6
홍콩,25052,2023,6
대만,47926,2023,6
마카오,14458,2023,6
싱가포르,40187,2023,6
말레이시아,25933,2023,6
인도네시아,27036,2023,6
캄보디아,11420,2023,6
터키,13758,2023,6
이스라엘,2700,2023,6
몰디브,2306,2023,6
스리랑카,516,2023,6
독일,21803,2023,6
오스트리아,19415,2023,6
슬로베니아,6101,2023,6
보스니아,1892,2023,6
핀란드,2485,2023,6
북마케도니아,156,2023,6
세르비아,28,2023,6
남아프리카,735,2023,6
미국,108675,2023,6
캐나다,17246,2023,6
도미니카공화국,972,2023,6
자메이카,48,2023,6
코스타리카,212,2023,6
멕시코,6707,2023,6
호주,18210,2023,6
사이판,17739,2023,6
괌,2871,2023,6
뉴질랜드,2660,2023,6
팔라우,34,2023,6
피지,226,2023,6
