CNT_NAME,EMI,YEAR,MONTH,CNT_CODE
일본,466987,2023,4,JP
중국,283295,2023,4,CN
베트남,259357,2023,4,VN
태국,95830,2023,4,TH
필리핀,95103,2023,4,PH
홍콩,21112,2023,4,HK
대만,58950,2023,4,TW
마카오,8095,2023,4,MO
싱가포르,31780,2023,4,SG
말레이시아,24677,2023,4,MY
인도네시아,18436,2023,4,ID
캄보디아,11520,2023,4,KH
터키,9600,2023,4,TR
이스라엘,3000,2023,4,IL
몰디브,2994,2023,4,MV
스리랑카,469,2023,4,LK
독일,14131,2023,4,DE
오스트리아,14286,2023,4,
슬로베니아,5956,2023,4,SI
보스니아,1124,2023,4,BA
핀란드,986,2023,4,FI
북마케도니아,94,2023,4,MK
세르비아,70,2023,4,RS
남아프리카,681,2023,4,ZA
미국,118631,2023,4,US
캐나다,7185,2023,4,CA
도미니카공화국,1038,2023,4,DO
자메이카,12,2023,4,JM
코스타리카,285,2023,4,CR
멕시코,7218,2023,4,MX
호주,15700,2023,4,AU
사이판,11189,2023,4,MP
괌,35397,2023,4,GU
뉴질랜드,4133,2023,4,NZ
팔라우,41,2023,4,PW
피지,135,2023,4,FJ
