CNT_NAME,CNT_CODE,ISO
일본,JP,JPN
중국,CN,CHN
베트남,VN,VNM
태국,TH,THA
필리핀,PH,PHL
홍콩,HK,HKG
대만,TW,TWN
마카오,MO,MAC
싱가포르,SG,SGP
말레이시아,MY,MYS
인도네시아,ID,IDN
캄보디아,KH,KHM
터키,TR,TUR
인도,IN,IND
몽골,MN,MNG
미얀마,MM,MMR
스페인,ES,ESP
독일,DE,DEU
영국,GB,GBR
슬로베니아,SI,SVN
러시아,RU,RUS
미국,US,USA
캐나다,CA,CAN
멕시코,MX,MEX
오스트레일리아,AU,AUS
뉴질랜드,NZ,NZL
