ATTR_CODE,SCORE,ATTR_REV_POS,ATTR_REV_NEG
AT1244,4.76,10,0
AT1245,4.88,10,0
AT1246,4.18,8,2
AT1247,4.39,28,2
AT1248,4.88,30,0
AT1249,4.59,28,2
AT1250,4.22,27,3
AT1251,4.25,28,2
AT1252,4.67,30,0
AT1253,4.8,30,0
AT1254,4.73,30,0
AT1255,4.59,30,0
AT1256,4.69,30,0
AT1257,4.45,30,0
AT1258,4.8,30,0
AT1259,4.75,30,0
AT1260,3.94,26,4
AT1261,4.04,26,4
AT1262,4.61,30,0
AT1263,4.65,30,0
AT1264,4.82,30,0
AT1265,4.8,30,0
AT1266,4.73,30,0
AT1267,4.61,30,0
AT1268,4.33,30,0
AT1269,4.45,30,0
AT1270,4.41,29,1
AT1271,4.59,30,0
AT1272,4.69,30,0
AT1273,4.53,29,1
AT1274,4.51,29,1
AT1275,4.55,30,0
AT1276,3.9,27,3
AT1277,4.63,30,0
AT1278,4.22,28,2
AT1279,4.92,30,0
AT1280,3.41,23,7
AT1281,4.2,9,1
AT1282,4.45,29,1
AT1283,4.31,27,3
AT1284,4.53,30,0
AT1285,4.16,28,2
AT1286,4.61,30,0
AT1287,4.08,30,0
AT1288,3.31,7,3
AT1289,3.45,24,6
AT1290,4.8,30,0
AT1291,3.98,28,2
AT1292,3.43,23,7
AT1293,4.53,10,0
AT1294,4.24,30,0
AT1295,4.41,10,0
AT1296,4.33,29,1
AT1297,4.14,9,1
AT1298,4.75,29,1
AT1299,4.47,10,0
AT1300,3.9,9,1
AT1301,3.84,9,1
AT1302,3.82,26,4
AT1303,4.08,4,0
AT1304,4.76,30,0
AT1305,4.8,30,0
AT1306,4.71,30,0
AT1307,4.82,30,0
AT1308,4.65,10,0
AT1309,3.82,8,2
AT1310,4.18,10,0
AT1311,3.76,8,2
AT1312,4.59,10,0
AT1313,4.31,9,1
AT1314,4.86,30,0
AT1315,4.59,29,1
AT1316,4.55,30,0
AT1317,4.71,10,0
AT1318,4.71,30,0
AT1319,4.57,28,2
AT1320,4.31,9,1
AT1321,4.59,10,0
AT1322,4.88,10,0
AT1323,4.47,10,0
AT1324,4.53,10,0
AT1325,4.41,10,0
AT1326,4.0,8,2
AT1327,4.29,8,2
AT1328,3.59,25,5
AT1329,3.92,26,4
AT1330,5.0,30,0
AT1331,5.0,30,0
AT1332,4.96,30,0
AT1333,5.0,30,0
AT1334,5.0,30,0
AT1335,4.86,29,1
AT1336,5.0,30,0
AT1337,5.0,30,0
AT1338,4.96,30,0
AT1339,4.78,29,1
AT1340,4.29,29,1
AT1341,5.0,30,0
AT1342,3.53,24,6
AT1343,5.0,30,0
AT1344,4.22,29,1
AT1345,4.47,28,2
AT1346,4.08,26,4
AT1347,5.0,30,0
AT1348,4.8,29,1
AT1349,4.92,30,0
AT1350,4.2,28,2
AT1351,4.45,30,0
AT1352,4.96,30,0
AT1353,5.0,30,0
AT1354,4.35,28,2
AT1355,4.78,30,0
AT1356,4.12,28,2
AT1357,4.76,30,0
AT1358,4.75,30,0
AT1359,4.76,30,0
AT1360,4.82,30,0
AT1361,4.84,30,0
AT1362,3.84,25,5
AT1363,4.08,27,3
AT1364,4.78,30,0
AT1365,3.31,23,7
AT1366,4.61,29,1
AT1367,4.76,30,0
AT1368,4.55,30,0
AT1369,4.53,29,1
AT1370,4.61,29,1
AT1371,4.35,30,0
AT1372,4.49,30,0
AT1373,4.71,30,0
AT1374,4.33,29,1
AT1375,4.14,28,2
AT1382,4.14,28,2
AT1375,4.14,28,2
AT1382,4.14,28,2
AT1376,3.82,26,4
AT1377,4.43,30,0
AT1378,4.41,29,1
AT1379,4.86,30,0
AT1380,4.76,30,0
AT1381,4.37,30,0
AT1383,4.47,27,3
AT1384,4.71,30,0
AT1385,4.59,29,1
AT1386,4.0,26,4
AT1387,4.88,30,0
AT1388,4.41,29,1
AT1389,4.73,30,0
AT1390,4.41,30,0
AT1391,3.75,26,4
AT1392,4.25,27,3
AT1393,4.82,30,0
AT1394,4.47,30,0
AT1395,4.59,10,0
AT1396,4.45,29,1
AT1397,4.12,8,2
AT1398,4.47,30,0
AT1399,4.14,9,1
AT1400,4.65,10,0
AT1401,4.14,9,1
AT1402,4.47,10,0
AT1403,4.37,9,1
AT1404,4.37,9,1
AT1405,4.65,10,0
AT1406,4.88,10,0
AT1407,4.88,10,0
AT1408,4.18,8,2
AT1409,4.59,10,0
AT1410,4.27,28,2
AT1411,4.78,30,0
AT1412,4.47,29,1
AT1413,4.02,9,1
AT1414,3.82,8,2
AT1415,4.02,9,1
AT1416,4.55,9,1
AT1417,4.67,9,1
AT1418,4.88,10,0
AT1419,4.49,30,0
AT1420,4.88,30,0
AT1421,4.29,10,0
AT1422,4.31,28,2
AT1423,4.47,10,0
AT1424,4.88,10,0
AT1425,4.71,10,0
AT1426,3.82,8,2
AT1427,4.41,10,0
AT1428,4.65,30,0
AT1429,4.24,10,0
AT1430,4.22,30,0
AT1431,4.65,10,0
AT1432,3.59,8,2
AT1433,4.41,10,0
AT1434,4.65,29,1
AT1435,4.65,10,0
AT1436,4.75,30,0
AT1437,4.41,10,0
AT1438,3.59,8,2
AT1439,4.35,10,0
AT1440,4.35,10,0
AT1441,3.2,22,8
AT1442,4.37,29,1
AT1443,4.82,30,0
AT1444,3.39,24,6
AT1445,1.86,14,16
AT1446,4.16,28,2
AT1447,4.71,30,0
AT1448,4.82,30,0
AT1449,4.67,30,0
AT1450,4.47,28,2
AT1451,4.55,29,1
AT1452,4.55,29,1
AT1457,4.55,29,1
AT1458,4.55,29,1
AT1451,4.49,29,1
AT1452,4.49,29,1
AT1457,4.49,29,1
AT1458,4.49,29,1
AT1451,4.69,30,0
AT1452,4.69,30,0
AT1457,4.69,30,0
AT1458,4.69,30,0
AT1451,4.63,30,0
AT1452,4.63,30,0
AT1457,4.63,30,0
AT1458,4.63,30,0
AT1453,4.63,30,0
AT1454,4.59,29,1
AT1455,4.69,30,0
AT1456,4.47,28,2
AT1473,4.47,29,1
AT1474,4.96,30,0
AT1475,4.88,30,0
AT1476,4.73,30,0
AT1477,4.49,28,2
AT1478,4.51,28,2
AT1479,4.41,10,0
AT1480,4.37,9,1
AT1481,4.47,10,0
AT1482,4.78,30,0
AT1483,3.43,7,3
AT1484,4.57,30,0
AT1485,4.71,10,0
AT1486,4.2,9,1
AT1487,4.2,9,1
AT1488,4.82,10,0
AT1489,4.55,9,1
AT1490,3.47,8,2
AT1491,4.24,8,2
AT1492,2.63,6,4
AT1493,3.49,7,3
AT1494,4.08,9,1
AT1495,4.43,9,1
AT1496,2.39,4,6
AT1459,4.51,28,2
AT1460,4.37,28,2
AT1461,4.92,30,0
AT1462,4.06,27,3
AT1463,4.73,30,0
AT1464,4.76,30,0
AT1465,4.37,30,0
AT1466,4.53,30,0
AT1467,4.67,30,0
AT1468,4.22,28,2
AT1469,4.31,29,1
AT1470,4.69,30,0
AT1471,4.51,30,0
AT1472,4.47,30,0
AT1497,4.57,30,0
AT1498,4.69,30,0
AT1499,4.25,28,2
AT1500,4.86,30,0
AT1501,4.78,30,0
AT1502,4.67,30,0
AT1503,4.39,29,1
AT1504,4.71,30,0
AT1505,3.65,23,7
AT1506,4.92,30,0
AT1507,4.43,29,1
AT1508,4.53,30,0
AT1509,4.67,29,1
AT1510,4.65,30,0
AT1511,4.8,30,0
AT1512,4.73,30,0
AT1513,4.84,30,0
AT1514,4.59,30,0
AT1515,4.69,30,0
AT1516,4.65,10,0
AT1517,4.82,10,0
AT1518,4.69,30,0
AT1519,4.47,10,0
AT1520,4.59,10,0
AT1521,4.53,10,0
AT1522,4.88,10,0
AT1523,4.47,10,0
AT1524,4.71,10,0
AT1525,4.2,9,1
AT1526,4.39,28,2
AT1527,4.76,10,0
AT1528,4.47,8,2
AT1529,4.76,10,0
AT1530,4.73,30,0
AT1531,4.73,30,0
AT1532,4.71,10,0
AT1533,4.82,10,0
AT1534,4.65,10,0
AT1535,4.69,30,0
AT1536,4.82,10,0
AT1537,3.16,6,4
AT1538,2.0,3,7
AT1539,4.71,10,0
AT1540,3.88,26,4
AT1541,4.1,26,4
AT1542,4.53,30,0
AT1543,4.49,9,1
AT1544,4.31,9,1
AT1545,3.59,8,2
AT1546,3.31,7,3
AT1547,4.47,10,0
AT1548,4.65,10,0
AT1549,3.55,7,3
AT1550,4.47,10,0
AT1551,4.82,10,0
AT1552,4.47,10,0
AT1553,4.47,10,0
AT1554,4.45,28,2
AT1555,4.0,26,4
AT1556,4.59,29,1
AT1557,4.45,29,1
AT1558,4.27,28,2
AT1559,4.88,10,0
AT1560,3.47,8,2
AT1561,4.35,6,0
AT1562,4.25,9,1
AT1563,4.82,10,0
AT1564,4.08,9,1
AT1565,4.08,27,3
AT1566,4.14,28,2
AT1567,4.88,10,0
AT1568,3.88,26,4
AT1569,4.8,30,0
AT1570,4.82,10,0
AT1571,3.27,6,4
AT1572,4.88,9,0
AT1573,2.8,4,5
AT1574,4.49,9,1
AT1575,4.88,30,0
AT1576,4.39,29,1
AT1577,4.57,30,0
AT1578,4.2,1,0
AT1579,4.88,10,0
AT1580,4.82,10,0
AT1581,4.88,10,0
AT1582,4.25,9,1
AT1583,4.88,10,0
AT1584,4.22,29,1
AT1585,4.59,10,0
AT1586,3.73,7,3
AT1587,4.88,30,0
AT1588,3.63,26,4
AT1589,3.92,27,3
AT1590,4.84,30,0
AT1591,4.71,28,2
AT1592,5.0,30,0
AT1593,5.0,30,0
AT1594,4.33,28,2
AT1595,3.31,22,8
AT1596,4.61,29,1
AT1597,5.0,30,0
AT1598,4.2,26,4
AT1599,4.51,28,2
AT1600,5.0,30,0
AT1601,4.86,30,0
AT1602,4.14,9,1
AT1603,4.49,9,1
AT1604,4.35,10,0
AT1605,3.59,8,2
AT1606,3.88,8,2
AT1607,3.71,8,2
AT1608,4.37,9,1
AT1609,3.31,7,3
AT1610,4.2,9,1
AT1611,4.71,10,0
AT1612,3.24,5,5
AT1613,4.73,30,0
AT1614,4.71,30,0
AT1615,4.47,29,1
AT1616,4.33,30,0
AT1617,4.75,30,0
AT1618,4.65,30,0
AT1619,4.63,30,0
AT1620,3.96,27,3
AT1621,4.2,29,1
AT1622,4.67,30,0
AT1623,4.47,29,1
AT1624,4.59,28,2
AT1625,4.51,29,1
AT1626,3.9,26,4
AT1627,4.61,29,1
AT1628,3.82,25,5
AT1629,3.1,22,8
AT1630,3.41,24,6
AT1631,3.82,25,5
AT1632,4.16,28,2
AT1633,4.1,28,2
AT1634,3.76,25,5
AT1635,4.04,27,3
AT1636,4.37,29,1
AT1637,4.18,27,3
AT1638,5.0,30,0
AT1639,3.84,28,2
AT1640,4.25,29,1
AT1641,3.84,26,4
AT1642,4.61,30,0
AT1643,3.78,26,4
AT1644,4.57,28,2
AT1645,4.39,30,0
AT1646,4.18,29,1
AT1647,3.69,25,5
AT1648,4.41,30,0
AT1649,4.55,30,0
AT1650,4.47,28,2
AT1651,4.43,30,0
AT1652,4.67,30,0
AT1653,4.49,30,0
AT1654,4.73,30,0
AT1655,4.8,30,0
AT1656,3.88,26,4
AT1657,4.12,28,2
AT1658,4.55,30,0
AT1659,4.27,29,1
AT1660,4.47,29,1
AT1661,4.51,30,0
AT1662,4.55,30,0
AT1663,1.31,11,19
AT1664,4.61,30,0
AT1665,4.57,30,0
AT1666,4.53,30,0
AT1667,3.8,27,3
AT1668,4.76,30,0
AT1669,4.78,30,0
AT1670,4.51,30,0
AT1671,4.35,10,0
AT1672,3.94,26,4
AT1673,4.22,28,2
AT1674,4.33,28,2
AT1675,4.47,29,1
AT1676,4.63,30,0
AT1677,3.39,24,6
AT1678,4.04,26,4
AT1679,4.08,27,3
AT1680,4.0,26,4
AT1681,4.27,28,2
AT1682,4.82,30,0
AT1683,4.86,30,0
AT1684,4.73,30,0
AT1685,4.33,30,0
AT1686,4.67,30,0
AT1687,3.82,26,4
AT1688,4.02,29,1
AT1689,4.57,30,0
AT1690,4.78,30,0
AT1691,4.35,29,1
AT1692,4.39,28,2
AT1693,4.88,10,0
AT1694,4.8,30,0
AT1695,4.82,10,0
AT1696,3.9,27,3
AT1697,3.84,26,4
AT1698,4.47,29,1
AT1699,4.2,27,3
AT1700,4.53,10,0
AT1701,4.53,10,0
AT1702,4.53,10,0
AT1703,4.35,10,0
AT1704,3.9,9,1
AT1705,3.39,6,4
AT1706,4.59,10,0
AT1707,3.16,6,4
AT1708,4.47,10,0
AT1709,4.49,2,0
AT1710,3.94,8,2
AT1711,3.94,8,2
AT1712,4.47,30,0
AT1713,4.49,9,1
AT1714,4.65,10,0
AT1715,4.82,10,0
AT1716,3.67,7,3
AT1717,3.94,8,2
AT1718,4.35,10,0
AT1719,4.25,9,1
AT1720,4.35,10,0
AT1721,3.61,1,0
AT1722,4.53,10,0
AT1723,4.76,10,0
AT1724,4.82,10,0
AT1725,3.94,8,2
AT1726,4.76,10,0
AT1727,4.65,10,0
AT1728,3.96,9,1
AT1729,4.47,10,0
AT1730,4.88,10,0
AT1731,3.22,6,4
AT1732,3.94,8,2
AT1733,4.55,9,1
AT1734,4.82,10,0
AT1735,4.88,10,0
AT1736,3.78,9,1
AT1737,3.61,7,3
AT1738,4.43,9,1
AT1739,4.2,9,1
AT1740,3.22,6,4
AT1741,4.88,10,0
AT1742,4.02,9,1
AT1743,3.51,6,4
AT1744,4.88,10,0
AT1745,2.98,6,4
AT1746,4.88,10,0
AT1747,4.35,10,0
AT1748,4.88,10,0
AT1749,4.88,10,0
AT1750,1.67,2,8
AT1751,2.57,4,6
AT1752,4.67,30,0
AT1753,4.55,30,0
AT1754,4.06,30,0
AT1755,4.47,29,1
AT1756,4.53,10,0
AT1757,4.71,30,0
AT1758,3.37,7,3
AT1759,4.2,29,1
AT1760,4.12,28,2
AT1761,4.31,28,2
AT1762,4.67,29,1
AT1763,4.65,30,0
AT1764,4.88,30,0
AT1765,4.63,30,0
AT1766,4.67,29,1
AT1767,4.59,29,1
AT1768,4.82,30,0
AT1769,3.86,26,4
AT1770,4.9,30,0
AT1771,4.14,26,4
AT1772,4.45,29,1
AT1773,4.8,29,1
AT1774,4.57,30,0
AT1775,4.51,29,1
AT1776,4.73,30,0
AT1777,4.47,10,0
AT1778,4.73,30,0
AT1779,4.04,26,4
AT1780,4.75,30,0
AT1781,3.43,7,3
AT1782,4.65,10,0
AT1783,4.49,9,1
AT1784,4.59,10,0
AT1785,4.02,9,1
AT1786,4.53,10,0
AT1787,4.41,10,0
AT1788,4.06,8,2
AT1789,3.88,8,2
AT1790,4.78,30,0
AT1791,4.04,26,4
AT1792,3.96,27,3
AT1793,3.78,26,4
AT1794,4.67,30,0
AT1795,4.49,28,2
AT1796,4.1,26,4
AT1797,3.41,23,7
AT1798,4.39,28,2
AT1799,4.37,29,1
AT1800,4.69,30,0
AT1801,4.59,29,1
AT1802,4.78,30,0
AT1803,4.92,30,0
AT1804,4.61,30,0
AT1805,4.94,30,0
AT1806,4.49,29,1
AT1807,4.31,28,2
AT1808,3.63,26,4
AT1809,2.18,16,14
AT1810,3.18,23,7
AT1811,3.27,22,8
AT1812,3.86,26,4
AT1813,4.76,30,0
AT1814,4.18,8,2
AT1815,4.61,30,0
AT1816,4.29,27,3
AT1817,3.8,24,6
AT1818,2.25,18,12
AT1819,4.67,30,0
AT1820,4.63,30,0
AT1821,4.35,27,3
AT1822,4.86,30,0
AT1823,3.49,25,5
AT1824,4.88,10,0
AT1825,4.49,28,2
AT1826,4.76,29,1
AT1827,3.75,25,5
AT1828,4.08,9,1
AT1829,2.31,18,12
AT1830,2.18,18,12
AT1831,2.27,18,12
AT1832,4.37,28,2
AT1833,1.53,12,18
AT1834,4.55,30,0
AT1835,4.63,30,0
AT1836,4.96,30,0
AT1837,3.98,28,2
AT1838,3.51,24,6
AT1839,3.88,25,5
AT1840,3.49,25,5
AT1841,3.59,8,2
AT1842,4.75,29,1
AT1843,4.8,30,0
AT1844,4.9,30,0
AT1845,3.53,25,5
AT1846,4.27,28,2
AT1847,3.47,24,6
AT1848,4.78,30,0
AT1849,4.25,28,2
AT1850,4.84,30,0
AT1851,3.92,27,3
AT1852,4.82,30,0
AT1853,4.65,29,1
AT1854,4.78,30,0
AT1855,4.47,29,1
AT1856,4.22,28,2
AT1857,4.73,30,0
AT1858,4.82,30,0
AT1859,4.82,30,0
AT1860,4.73,29,1
AT1861,4.06,27,3
AT1862,4.67,30,0
AT1863,4.49,9,1
AT1864,4.71,30,0
AT1865,4.39,30,0
AT1866,4.76,10,0
AT1867,4.88,10,0
AT1868,4.88,10,0
AT1869,4.92,30,0
AT1870,4.22,28,2
AT1871,4.88,10,0
AT1872,3.49,26,4
AT1873,3.57,24,6
AT1874,3.9,26,4
AT1875,3.96,29,1
AT1876,4.88,10,0
AT1877,4.55,30,0
AT1878,4.49,2,0
AT1879,4.0,26,4
AT1880,4.59,10,0
AT1881,5.0,30,0
AT1882,4.24,8,2
AT1883,3.43,24,6
AT1884,2.55,20,10
AT1885,4.45,30,0
AT1886,4.1,28,2
AT1887,4.39,29,1
AT1888,4.51,30,0
AT1889,3.76,26,4
AT1890,3.57,25,5
AT1891,4.71,10,0
AT1892,3.73,9,1
AT1893,3.84,7,3
AT1894,4.37,29,1
AT1895,2.76,5,5
AT1896,4.76,30,0
AT1898,4.76,30,0
AT1896,4.76,30,0
AT1898,4.76,30,0
AT1897,4.31,9,1
AT1899,4.31,9,1
AT1897,4.31,9,1
AT1899,4.31,9,1
AT1908,3.86,26,4
AT1909,3.9,26,4
AT1910,4.29,29,1
AT1911,5.0,30,0
AT1912,4.16,28,2
AT1913,4.22,29,1
AT1914,3.82,27,3
AT1915,4.37,29,1
AT1916,4.12,28,2
AT1917,4.82,30,0
AT1918,3.49,24,6
AT1919,4.2,2,0
AT1920,4.53,10,0
AT1921,4.88,10,0
AT1922,4.65,10,0
AT1900,4.59,10,0
AT1901,4.25,9,1
AT1902,4.49,30,0
AT1903,4.78,1,0
AT1904,3.31,7,3
AT1905,3.55,7,3
AT1906,2.55,2,3
AT1907,2.88,5,5
