ACCOM_CODE,SCORE,ACCOM_REV_POS,ACCOM_REV_NEG
AC1274,3.77,44,16
AC1275,3.39,40,20
AC1276,4.3,52,8
AC1277,4.54,54,6
AC1278,3.08,36,24
AC1279,4.03,48,12
AC1280,3.57,40,19
AC1281,3.33,36,18
AC1282,3.02,34,25
AC1283,3.48,42,18
AC1284,4.1,15,0
AC1285,3.28,19,11
AC1286,4.36,27,0
AC1287,4.31,50,8
AC1288,2.18,4,9
AC1289,4.52,27,0
AC1290,4.31,52,7
AC1291,3.62,3,0
AC1292,3.33,17,8
AC1293,4.51,54,6
AC1294,4.16,30,0
AC1295,3.75,46,13
AC1296,4.2,53,7
AC1297,4.66,57,2
AC1298,3.13,9,3
AC1299,4.48,51,3
AC1300,4.56,55,5
AC1301,4.54,46,2
AC1302,4.54,56,4
AC1303,3.46,12,0
AC1304,3.52,15,3
AC1305,4.75,58,2
AC1306,3.95,42,9
AC1307,3.54,6,0
AC1308,3.23,12,6
AC1309,2.69,3,3
AC1310,1.26,0,3
AC1311,4.25,57,3
AC1312,4.0,27,3
AC1313,3.13,3,0
AC1314,4.07,18,0
AC1315,2.25,0,3
AC1316,3.13,3,0
AC1317,3.13,3,0
AC1318,3.62,3,0
AC1319,3.21,7,2
AC1320,3.52,42,18
AC1321,3.2,12,3
AC1322,4.1,30,0
AC1323,3.26,9,3
AC1324,3.98,21,0
AC1325,1.75,0,3
AC1326,4.16,27,3
AC1327,3.61,9,0
AC1328,4.13,33,0
AC1331,4.13,33,0
AC1328,4.13,33,0
AC1331,4.13,33,0
AC1329,4.16,54,9
AC1332,4.16,54,9
AC1329,4.16,54,9
AC1332,4.16,54,9
AC1330,3.95,12,0
AC1333,3.95,12,0
AC1330,3.95,12,0
AC1333,3.95,12,0
AC1334,3.87,45,11
AC1335,4.18,49,6
AC1336,2.7,28,24
AC1337,3.11,35,22
AC1338,2.66,31,27
AC1339,3.84,84,30
AC1340,2.67,31,27
AC1341,2.77,32,26
AC1342,3.11,36,23
AC1343,3.3,6,0
AC1344,3.85,45,13
AC1345,4.1,42,6
AC1346,4.23,48,3
AC1347,3.97,46,13
AC1348,3.62,3,0
AC1349,4.11,42,0
AC1350,3.23,33,18
AC1351,3.97,39,9
AC1352,3.21,15,6
AC1353,3.49,12,3
AC1354,2.2,3,3
AC1355,1.26,0,3
AC1356,2.93,3,3
AC1357,3.34,24,12
AC1358,2.25,0,3
AC1359,4.1,33,6
AC1360,3.3,37,20
AC1361,3.79,6,0
AC1362,3.39,12,3
AC1363,2.48,6,12
AC1364,4.52,58,0
AC1365,3.62,3,0
AC1366,3.54,6,0
AC1367,3.54,6,0
AC1368,2.11,18,30
AC1369,3.3,6,0
AC1370,3.39,12,3
AC1371,3.49,12,3
AC1372,3.3,6,0
AC1373,2.61,12,3
AC1374,3.62,3,0
AC1375,3.54,6,0
AC1376,4.62,55,2
AC1377,3.66,18,0
AC1378,3.97,37,0
AC1379,3.3,6,0
AC1380,4.59,57,0
AC1381,3.33,12,3
AC1382,3.75,13,0
AC1383,4.02,14,0
AC1384,3.7,13,0
AC1385,3.62,3,0
AC1386,3.15,10,5
AC1387,3.26,5,1
AC1388,3.11,11,3
AC1389,3.28,10,4
AC1390,3.02,9,6
AC1391,4.16,15,0
AC1392,3.62,3,0
AC1393,3.11,6,3
AC1394,3.7,13,0
AC1395,2.44,1,1
AC1396,3.52,12,3
AC1397,3.28,8,1
AC1398,3.74,14,0
AC1399,2.26,6,9
AC1400,1.66,3,0
AC1401,3.49,12,3
AC1402,3.23,13,2
AC1403,3.62,13,2
AC1404,2.72,6,5
AC1405,3.7,14,1
AC1406,4.03,15,0
AC1407,3.44,12,1
AC1408,3.46,12,3
AC1409,3.77,14,0
AC1410,3.39,10,0
AC1411,3.85,11,0
AC1412,3.3,6,0
AC1413,4.1,15,0
AC1414,3.62,3,0
AC1415,2.9,9,5
AC1416,3.46,9,2
AC1417,2.11,3,6
AC1418,3.84,12,0
AC1419,3.59,13,0
AC1420,3.9,15,0
AC1421,3.3,6,0
AC1422,3.3,9,0
AC1423,4.2,15,0
AC1424,2.82,4,1
AC1425,2.39,4,5
AC1426,3.54,6,0
AC1427,1.7,1,8
AC1428,2.38,0,1
AC1429,2.38,0,1
AC1432,2.38,0,1
AC1433,2.38,0,1
AC1428,2.75,0,1
AC1429,2.75,0,1
AC1432,2.75,0,1
AC1433,2.75,0,1
AC1428,2.85,36,22
AC1429,2.85,36,22
AC1432,2.85,36,22
AC1433,2.85,36,22
AC1428,3.21,36,22
AC1429,3.21,36,22
AC1432,3.21,36,22
AC1433,3.21,36,22
AC1430,3.0,13,2
AC1431,2.64,11,4
AC1442,3.23,10,5
AC1443,3.23,12,3
AC1444,1.77,3,6
AC1445,3.13,3,0
AC1446,2.98,4,2
AC1447,1.89,3,12
AC1448,2.52,6,9
AC1449,2.92,9,6
AC1450,1.87,3,11
AC1451,2.74,11,4
AC1452,3.9,14,1
AC1453,4.1,15,0
AC1454,2.69,6,6
AC1455,2.97,11,4
AC1456,2.43,3,6
AC1457,3.02,9,6
AC1458,2.61,7,6
AC1459,2.82,7,3
AC1460,3.67,12,0
AC1461,1.66,3,0
AC1462,3.79,9,0
AC1463,3.93,15,0
AC1464,3.13,3,0
AC1465,3.74,5,0
AC1466,2.77,6,3
AC1467,2.95,6,3
AC1468,3.39,10,1
AC1469,3.87,12,0
AC1470,3.13,13,2
AC1471,2.05,1,2
AC1472,3.03,11,4
AC1473,3.05,10,5
AC1474,3.03,10,5
AC1475,2.89,9,6
AC1476,3.3,3,0
AC1477,3.8,26,4
AC1478,3.08,9,4
AC1479,2.36,6,5
AC1480,2.52,6,8
AC1481,3.38,10,2
AC1482,3.16,7,3
AC1483,2.05,1,2
AC1484,3.39,11,1
AC1485,3.07,7,4
AC1486,3.62,3,0
AC1487,3.7,10,1
AC1488,1.95,0,4
AC1489,3.3,13,2
AC1490,2.11,10,14
AC1491,3.57,10,1
AC1492,3.67,9,0
AC1493,3.57,14,1
AC1494,2.18,4,7
AC1495,2.92,10,5
AC1496,2.93,6,2
AC1497,2.51,4,8
AC1498,3.46,6,0
AC1499,3.05,10,5
AC1500,3.54,6,0
AC1501,3.03,11,4
AC1502,3.36,12,3
AC1503,3.3,12,3
AC1504,2.85,10,5
AC1505,3.56,13,2
AC1506,2.92,9,6
AC1507,3.03,10,5
AC1508,3.66,13,2
AC1509,3.59,26,4
AC1510,3.43,13,2
AC1511,3.43,12,3
AC1512,2.95,10,5
AC1513,2.74,4,2
AC1514,3.02,9,6
AC1515,3.08,9,6
AC1516,3.16,12,3
AC1517,3.41,11,2
AC1518,3.26,6,3
AC1519,4.0,15,0
AC1520,3.31,10,5
AC1521,3.3,9,0
AC1522,3.97,15,0
AC1523,3.52,13,2
AC1524,3.49,13,2
AC1525,3.56,13,2
AC1526,3.33,11,4
AC1527,3.23,11,4
AC1528,2.92,10,5
AC1529,3.43,12,3
AC1530,3.87,15,0
AC1531,3.67,12,0
AC1532,2.89,9,6
AC1533,4.15,28,2
AC1534,3.52,12,3
AC1535,3.08,10,5
AC1434,3.43,36,20
AC1435,3.93,46,13
AC1436,2.25,0,3
AC1437,4.18,48,7
AC1438,4.05,46,9
AC1439,4.16,49,8
AC1440,2.93,5,4
AC1441,3.49,41,19
AC1536,3.62,46,14
AC1537,3.48,41,19
AC1538,3.15,36,24
AC1539,2.85,27,21
AC1540,4.36,49,3
AC1541,2.41,6,5
AC1542,3.61,44,15
AC1543,2.75,12,12
AC1544,2.34,15,15
AC1545,3.16,21,9
AC1546,3.82,44,15
AC1547,3.13,3,0
AC1548,2.15,3,0
AC1549,3.62,3,0
AC1550,3.61,39,16
AC1551,3.23,4,2
AC1552,2.92,32,23
AC1553,3.51,42,17
AC1554,2.75,26,25
AC1555,3.92,52,6
AC1556,2.69,3,3
AC1557,3.13,3,0
AC1558,3.13,3,0
AC1559,2.62,9,0
AC1560,3.62,3,0
AC1561,3.07,15,6
AC1562,4.16,36,3
AC1563,4.48,36,0
AC1564,2.75,4,4
AC1565,3.77,13,1
AC1566,3.74,12,1
AC1567,1.89,0,1
AC1568,3.38,9,1
AC1569,3.11,12,2
AC1570,2.43,5,6
AC1571,2.95,7,6
AC1572,3.08,10,3
AC1573,3.57,11,2
AC1574,3.25,8,3
AC1575,3.7,13,1
AC1576,2.33,8,4
AC1577,3.74,15,0
AC1578,2.82,9,5
AC1579,3.08,9,4
AC1580,3.25,12,2
AC1581,3.3,11,3
AC1582,3.52,13,2
AC1583,3.51,10,3
AC1584,3.13,3,0
AC1585,3.46,6,0
AC1586,2.56,7,8
AC1587,1.26,0,3
AC1588,4.0,15,0
AC1589,2.82,8,4
AC1590,3.21,15,0
AC1591,2.25,0,3
AC1592,2.69,3,3
AC1593,2.8,7,1
AC1594,3.49,1,0
AC1595,3.13,3,0
AC1596,2.62,4,1
AC1597,2.41,5,9
AC1598,2.69,3,3
AC1599,3.21,14,1
AC1600,2.2,3,3
AC1601,3.79,16,2
AC1602,2.95,6,3
AC1603,3.38,30,12
AC1604,3.18,9,6
AC1605,3.13,9,3
AC1606,3.07,12,6
AC1607,2.0,3,9
AC1608,4.0,15,0
AC1609,4.07,48,9
AC1610,3.84,17,2
AC1611,2.62,15,12
AC1612,3.3,12,3
AC1613,4.07,33,3
AC1614,3.34,15,6
AC1615,3.41,9,2
AC1616,2.33,6,6
AC1617,3.33,44,13
AC1618,4.38,45,3
AC1619,2.64,3,0
AC1620,3.15,36,24
AC1621,3.46,42,18
AC1622,3.3,20,8
AC1623,3.8,30,9
AC1624,4.16,48,9
AC1625,3.43,41,16
AC1626,3.97,49,11
AC1627,4.85,59,1
AC1628,3.48,37,19
AC1629,3.15,38,22
AC1630,4.52,55,2
AC1631,3.61,15,0
AC1632,3.13,3,0
AC1633,4.2,21,0
AC1634,4.38,51,7
AC1635,4.67,57,3
AC1636,2.77,13,8
AC1637,3.82,44,13
AC1638,3.2,12,5
AC1639,1.69,20,39
AC1640,4.48,54,3
AC1641,3.67,33,11
AC1642,4.33,49,6
AC1643,4.59,55,4
AC1644,4.1,49,11
AC1645,4.21,48,7
AC1646,4.7,55,3
AC1647,3.49,39,21
AC1648,2.59,12,15
AC1649,2.26,26,33
AC1650,4.43,54,6
AC1651,4.64,57,3
AC1652,3.69,45,15
AC1653,2.15,12,15
AC1654,3.54,6,0
AC1655,3.8,45,15
AC1656,3.11,35,24
AC1657,4.25,50,6
AC1658,4.56,56,2
AC1659,4.49,51,3
AC1660,2.79,9,6
AC1661,3.77,14,1
AC1662,4.0,15,0
AC1663,3.79,9,0
AC1664,3.11,6,3
AC1665,3.8,14,1
AC1666,3.07,11,4
AC1667,3.64,15,0
AC1668,3.74,13,1
AC1669,3.51,9,3
AC1670,3.33,11,3
AC1671,3.61,9,0
AC1672,3.97,15,0
AC1673,3.67,14,1
AC1674,3.85,13,0
AC1675,4.0,15,0
AC1676,3.36,11,4
AC1677,3.74,10,0
AC1678,3.87,15,0
AC1679,3.59,42,18
AC1680,3.39,43,17
AC1681,3.18,37,23
AC1682,2.44,9,9
AC1683,3.15,38,21
AC1684,3.26,38,22
AC1685,3.08,38,22
AC1686,3.02,37,22
AC1687,2.77,9,9
AC1688,1.59,0,9
AC1689,3.46,40,19
AC1690,3.59,12,0
AC1691,2.13,9,0
AC1692,2.38,27,33
AC1693,3.46,38,18
AC1694,3.77,18,3
AC1695,3.31,38,18
AC1696,3.44,15,3
AC1697,3.64,41,17
AC1698,4.25,51,7
AC1699,3.26,41,19
AC1700,4.49,54,6
AC1701,3.57,43,15
AC1702,3.64,38,16
AC1703,4.46,54,6
AC1704,3.48,40,20
AC1705,2.87,35,25
AC1706,2.93,34,24
AC1707,3.49,39,15
AC1708,3.8,41,13
AC1709,3.79,47,13
AC1710,3.84,45,12
AC1711,2.7,21,15
AC1712,4.23,45,5
AC1713,3.95,45,12
AC1714,3.79,42,11
AC1715,3.41,29,13
AC1716,4.77,60,0
AC1717,3.62,3,0
AC1718,2.25,27,33
AC1719,3.16,37,21
AC1720,3.97,47,11
AC1721,2.95,33,25
AC1722,2.0,25,33
AC1723,3.21,38,21
AC1724,3.07,35,24
AC1725,3.05,37,23
AC1726,2.67,30,28
