CNT_NAME,CNT_CODE
일본,JP
중국,CN
베트남,VN
태국,TH
필리핀,PH
홍콩,HK
대만,TW
마카오,MO
싱가포르,SG
말레이시아,MY
인도네시아,ID
캄보디아,KH
터키,TR
인도,IN
몽골,MN
미얀마,MM
이스라엘,IL
몰디브,MV
스리랑카,LK
스페인,ES
독일,DE
영국,GB
슬로베니아,SI
러시아,RU
보스니아,BA
핀란드,FI
북마케도니아,MK
세르비아,RS
남아프리카,ZA
미국,US
캐나다,CA
도미니카공화국,DO
자메이카,JM
코스타리카,CR
멕시코,MX
오스트레일리아,AU
사이판,MP
괌,GU
뉴질랜드,NZ
팔라우,PW
피지,FJ
