,KEYWORD,FIGURE
0,추천,100
1,일본,90
2,일본,90
3,준비물,69
4,준비물,69
5,카드,44
6,보험,40
7,비행기,36
8,패키지,33
9,안전,31
10,체크 리스트,28
11,코로나,27
12,로밍,26
13,지 추천,25
14,로밍,25
15,로밍,25
16,지 추천,25
17,베트남,24
18,유심,24
19,베트남,24
20,유심,24
21,백신,23
22,혼자,21
23,외교부,20
24,항공권,19
27,추천,9
28,일본,8
29,일본,8
30,준비물,6
31,준비물,6
32,카드,4
33,보험,4
34,비행기,3
35,패키지,3
36,안전,3
37,체크 리스트,2
38,코로나,2
39,지 추천,2
40,로밍,2
41,로밍,2
42,로밍,2
43,지 추천,2
44,유심,2
45,베트남,2
46,백신,2
47,혼자,2
48,항공권,2
49,대만,2
